stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
60db043b-c8e9-4c8e-a030-57436d3aa91c,1430,Patrick Henry/Seneca Wbnd,901,37.24693,-80.4169,0
52369657-9826-4166-8f10-c041fcad4ebb,1408,Patrick Henry/Main Wbnd,108,37.24607,-80.41435,0
53afe354-bcf9-4574-9567-820cf5ba5a46,1403,Lucas/Giles Ebnd,103,37.2393,-80.41671,0
d52fc66f-73dd-4bd2-a93d-fc3c1083a9bb,1405,Giles/Heights Nbnd,105,37.2429,-80.41447,0
a3cdec48-d367-43a9-a81c-955e14b85b01,1401,Main/Lucas Nbnd S,101,37.23912,-80.41995,0
15fb5cff-f73b-4d5d-9872-b2da7224bc5e,1402,Lucas/Main Ebnd,102,37.23966,-80.41841,0
8637973f-31f1-4374-9eef-3f989e9160a6,1421,Main/Kabrich Sbnd,124,37.23542,-80.42081,0
dbbce490-76cf-4ce2-98a5-a95bb616bf73,1328,Progress/Broce Sbnd,412,37.24235,-80.42226,0
f0b19ebb-69ac-432a-aaae-d768d40c4a9f,1113,Squires Wbnd,713,37.22977,-80.4191,0
dff0255a-843c-4303-bee3-df022f2eafc7,1400,Main/Montgomery Nbnd,100,37.23806,-80.42051,0
9cb820c8-3424-47c9-8727-5e098e227141,1110,Squires Ebnd,710,37.2298,-80.41873,0
ad1c8dc1-656e-456a-a95b-2b93dde809d6,1111,Alumni Mall Ebnd,711,37.23119,-80.41642,0
55ee9ea1-e6ad-43e6-9977-2c51a9616f37,1431,Main/Turner,,37.23394,-80.41904,0
16722de8-c8d3-4ac6-97cc-fe1f51dc86fa,1419,Main/Lucas Sbnd,122,37.24016,-80.41929,0
a84edf58-4413-45fb-beb8-18141f5c9527,1420,Main/Montgomery Sbnd,123,37.23891,-80.42007,0
0d63ed27-4271-4b1c-b4b8-e4a30208b61a,1418,Main/Northview Sbnd,121,37.24153,-80.41831,0
8973ac19-9b68-495c-8913-244baef292f0,1427,Main/Patrick Henry Nbnd,170,37.24598,-80.41511,0
5c4e235a-d053-48b4-b609-fc7e39d45ad9,1409,1500 North Main Nbnd,110,37.2491,-80.41291,0
a6646fae-59d8-40c0-a433-3cd250b494e8,1410,Main/Giles Nbnd,111,37.25099,-80.4116,0
db3f9d05-b37b-499d-bdc7-31ebaa9c0c47,1426,1200 North Main Nbnd,169,37.24327,-80.41707,0
9004c0d7-0ecc-4254-aaec-80f70bb0d333,1424,Main/Lucas Nbnd N,167,37.2403,-80.41919,0
8123e274-5b6a-4471-b348-43d2385a4a78,1425,Main/Northview Nbnd,168,37.24192,-80.41804,0
518bc452-b1ff-482d-823c-0100dfd13ace,1429,1500 North Main Sbnd,172,37.2495,-80.41262,0
9c2c89b3-97d8-493a-bbc1-43f676686eb3,1416,Main/Patrick Henry Sbnd,119,37.24598,-80.41511,0
a524109a-8196-430b-8f29-de33f45b4cc7,1417,1200 North Main Sbnd,120,37.24327,-80.41707,0
94906423-6487-4021-b749-4d9fcce4e486,1428,Whipple/Courtney Sbnd,171,37.25248,-80.41276,0
f0d71b5a-e8c8-468e-8f63-451ef4dafbcf,1411,Main/Red Maple Nbnd,112,37.25313,-80.41092,0
298bbbca-5ebb-49b4-9155-b3af830bf1f4,1412,Givens/Main Wbnd,113,37.25608,-80.41147,0
9e4b00b3-d3a9-421b-b2cc-472cfa28c133,1413,Whipple/Givens Wbnd,114,37.25479,-80.41341,0
62d46bcd-022d-417a-bbc0-27324af90667,1309,Patrick Henry/Toms Creek Wbnd,309,37.2438,-80.42802,0
b9e5481a-8a84-44ab-a4ea-8a9837e67f8f,1338,Toms Creek/Hunt Club Sbnd,,37.24203,-80.42765,0
50d039d0-d0d8-4ece-bf90-cba2ab0e8780,1307,Progress/Patrick Henry Nbnd,307,37.24522,-80.42153,0
c08da10c-dce9-4fee-8f8d-b057367ac3a6,1308,The Village on Patrick Henry Wbnd,308,37.24493,-80.42521,0
aad6f504-ffaa-4e37-80c6-f19a1abb95ad,1330,Toms Creek/McBryde Sbnd,414,37.23954,-80.42695,0
e6a1bab5-6470-4c23-8b55-59b876d31a53,1333,Toms Creek/Winston Sbnd,417,37.23438,-80.42564,0
6b3af2b8-6146-4ac7-9acd-ae584d562d36,1331,Toms Creek/Watson Sbnd,415,37.23824,-80.42658,0
7d5ea813-5f1a-413c-964b-ab9fa0f2f482,1332,Gilbert Linkous Sbnd,416,37.23654,-80.42683,0
8b72ed66-82a7-46f5-84b4-351f8ea80411,1306,Progress/University Terr Nbnd,306,37.24423,-80.42149,0
cf7fd316-8a79-4371-a286-7d82841f632d,1339,Progress/Watson Nbnd,,37.23911,-80.42215,0
c4ac0d9b-7124-4cdb-9030-8c5e0abf3b33,1305,Progress/Broce Nbnd,305,37.24237,-80.42226,0
2677ff48-2a61-4d37-ac2b-d822baa822b0,1120,Overflow Lot Ebnd,724,37.22409,-80.43083,0
156c05c9-ab13-4495-a4d4-0af55168c032,1628,Main St Post Office,159,37.22991,-80.41454,0
47dce955-e17a-4bc5-8755-6eb5e101f624,1118,Oak Lane North,722,37.22643,-80.43754,0
7e15412c-b192-4095-9055-7592e679aaf8,1117,Overflow Lot Wbnd,721,37.22419,-80.43075,0
